file	n_pages_livestock	n_pages_sheep	n_pages_cattle	n_pages_trampl	n_pages_graz	n_pages_sedi	n_pages_qual	n_hits	n_pages
/datadrive/data/ESAdocs/federal_register/2011-3730.pdf	0	2	0	0	8	1	0	11	12
/datadrive/data/ESAdocs/federal_register/2011-3732.pdf	1	0	0	0	10	0	0	11	12
/datadrive/data/ESAdocs/federal_register/2011-4036.pdf	0	0	0	0	14	2	1	17	26
/datadrive/data/ESAdocs/federal_register/2011-468.pdf	0	0	0	0	3	0	1	4	5
/datadrive/data/ESAdocs/federal_register/2011-469.pdf	2	24	1	1	19	10	6	63	30
/datadrive/data/ESAdocs/federal_register/2011-4884.pdf	1	1	0	1	16	0	0	19	17
/datadrive/data/ESAdocs/federal_register/2011-4906.pdf	0	0	0	1	56	1	1	59	121
/datadrive/data/ESAdocs/federal_register/2011-4997.pdf	19	0	6	1	38	7	3	74	83
/datadrive/data/ESAdocs/federal_register/2011-6347.pdf	0	1	1	0	12	3	6	23	14
/datadrive/data/ESAdocs/federal_register/2011-6638.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2011-7238.pdf	0	0	0	0	6	0	2	8	6
/datadrive/data/ESAdocs/federal_register/2011-7668.pdf	0	0	0	0	15	7	8	30	17
/datadrive/data/ESAdocs/federal_register/2011-7691.pdf	0	0	1	0	6	1	4	12	6
/datadrive/data/ESAdocs/federal_register/2011-7827.pdf	0	1	0	0	13	1	0	15	18
/datadrive/data/ESAdocs/federal_register/2011-8176.pdf	2	0	2	1	19	3	4	31	26
/datadrive/data/ESAdocs/federal_register/2011-8822.pdf	0	0	0	0	5	0	0	5	10
/datadrive/data/ESAdocs/federal_register/2011-9542.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2011-9557.pdf	17	2	2	0	54	0	0	75	61
/datadrive/data/ESAdocs/federal_register/2011-9864.pdf	1	0	0	0	2	0	0	3	2
/datadrive/data/ESAdocs/federal_register/2011-9973.pdf	5	0	1	1	10	6	3	26	10
/datadrive/data/ESAdocs/federal_register/2012-10033.pdf	0	0	0	0	1	0	0	1	1
/datadrive/data/ESAdocs/federal_register/2012-10212.pdf	0	3	0	0	3	0	0	6	5
/datadrive/data/ESAdocs/federal_register/2012-10407.pdf	2	0	0	0	4	0	0	6	5
/datadrive/data/ESAdocs/federal_register/2012-1043.pdf	1	3	4	1	8	0	0	17	10
/datadrive/data/ESAdocs/federal_register/2012-10451.pdf	0	0	0	0	1	0	0	1	2
/datadrive/data/ESAdocs/federal_register/2012-10635.pdf	1	1	8	0	14	0	0	24	22
/datadrive/data/ESAdocs/federal_register/2012-11059.pdf	0	0	0	0	0	0	0	0	3
/datadrive/data/ESAdocs/federal_register/2012-11100.pdf	6	0	0	5	31	4	1	47	38
/datadrive/data/ESAdocs/federal_register/2012-11229.pdf	2	1	1	1	14	7	6	32	18
/datadrive/data/ESAdocs/federal_register/2012-11339.pdf	0	3	3	8	39	0	0	53	52
/datadrive/data/ESAdocs/federal_register/2012-1147.pdf	0	0	0	0	3	0	0	3	4
/datadrive/data/ESAdocs/federal_register/2012-11484.pdf	4	6	15	15	118	0	1	159	313
/datadrive/data/ESAdocs/federal_register/2012-11671.pdf	0	0	0	0	4	1	0	5	5
/datadrive/data/ESAdocs/federal_register/2012-12572.pdf	0	0	0	0	2	0	1	3	5
/datadrive/data/ESAdocs/federal_register/2012-12867.pdf	0	0	0	0	3	0	0	3	6
/datadrive/data/ESAdocs/federal_register/2012-13305.pdf	0	0	0	0	7	0	0	7	11
/datadrive/data/ESAdocs/federal_register/2012-13421.pdf	0	0	0	0	3	0	0	3	4
/datadrive/data/ESAdocs/federal_register/2012-13425.pdf	0	0	0	0	3	0	0	3	6
/datadrive/data/ESAdocs/federal_register/2012-13488.pdf	0	0	1	0	30	2	5	38	45
/datadrive/data/ESAdocs/federal_register/2012-13886.pdf	0	0	1	1	76	2	3	83	143
/datadrive/data/ESAdocs/federal_register/2012-14733.pdf	0	0	0	0	2	0	0	2	4
/datadrive/data/ESAdocs/federal_register/2012-14853.pdf	0	0	0	0	3	0	0	3	3
/datadrive/data/ESAdocs/federal_register/2012-16445.pdf	1	0	4	1	23	0	0	29	27
/datadrive/data/ESAdocs/federal_register/2012-16461.pdf	1	0	9	3	17	0	0	30	19
/datadrive/data/ESAdocs/federal_register/2012-16479.pdf	0	2	2	0	18	0	2	24	29
/datadrive/data/ESAdocs/federal_register/2012-16492.pdf	4	0	10	0	45	3	0	62	49
/datadrive/data/ESAdocs/federal_register/2012-16988.pdf	8	0	3	2	18	1	3	35	19
/datadrive/data/ESAdocs/federal_register/2012-17402.pdf	3	3	5	2	34	4	2	53	35
/datadrive/data/ESAdocs/federal_register/2012-17939.pdf	2	0	2	0	5	0	0	9	6
/datadrive/data/ESAdocs/federal_register/2012-17950.pdf	1	0	0	0	30	15	15	61	35
/datadrive/data/ESAdocs/federal_register/2012-18198.pdf	1	0	1	0	3	0	1	6	4
/datadrive/data/ESAdocs/federal_register/2012-18211.pdf	0	0	0	0	16	0	0	16	25
/datadrive/data/ESAdocs/federal_register/2012-18284.pdf	2	0	1	0	18	0	0	21	27
/datadrive/data/ESAdocs/federal_register/2012-18768.pdf	0	0	0	0	4	0	0	4	4
/datadrive/data/ESAdocs/federal_register/2012-1914.pdf	0	0	0	0	1	0	0	1	2
/datadrive/data/ESAdocs/federal_register/2012-1950.pdf	0	1	0	0	61	11	34	107	70
/datadrive/data/ESAdocs/federal_register/2012-19561.pdf	2	1	2	10	108	2	2	127	216
/datadrive/data/ESAdocs/federal_register/2012-19659.pdf	10	0	3	1	63	30	37	144	88
/datadrive/data/ESAdocs/federal_register/2012-19829.pdf	4	2	1	0	38	4	7	56	51
/datadrive/data/ESAdocs/federal_register/2012-19950.pdf	3	0	3	0	22	0	1	29	30
/datadrive/data/ESAdocs/federal_register/2012-20086.pdf	11	0	0	4	23	1	1	40	27
/datadrive/data/ESAdocs/federal_register/2012-21742.pdf	0	0	0	3	12	0	0	15	17
/datadrive/data/ESAdocs/federal_register/2012-2195.pdf	3	0	0	0	44	3	4	54	75
/datadrive/data/ESAdocs/federal_register/2012-21988.pdf	32	5	3	0	73	0	1	114	76
/datadrive/data/ESAdocs/federal_register/2012-22033.pdf	0	0	0	0	5	0	0	5	6
/datadrive/data/ESAdocs/federal_register/2012-22061.pdf	6	0	11	8	43	7	3	78	60
/datadrive/data/ESAdocs/federal_register/2012-22657.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2012-23019.pdf	0	0	0	0	2	0	0	2	3
/datadrive/data/ESAdocs/federal_register/2012-23747.pdf	1	0	0	1	16	0	0	18	24
/datadrive/data/ESAdocs/federal_register/2012-23843.pdf	0	0	0	1	29	0	0	30	40
/datadrive/data/ESAdocs/federal_register/2012-23853.pdf	24	2	11	9	61	1	1	109	71
/datadrive/data/ESAdocs/federal_register/2012-23854.pdf	5	0	3	1	20	8	17	54	28
/datadrive/data/ESAdocs/federal_register/2012-23999.pdf	0	0	1	0	18	4	9	32	26
/datadrive/data/ESAdocs/federal_register/2012-23.pdf	1	2	0	0	7	0	0	10	8
